,Symbol,NAME OF COMPANY,SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
0,20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5
1,21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10
2,3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10
3,3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
4,3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2
5,4THDIM,Fourth Dimension Solutions Limited,EQ,06-SEP-2022,10,1,INE382T01022,10
6,5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10
7,63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2
8,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10
9,AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1
10,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-AUG-2021,10,1,INE198H01019,10
11,AARON,Aaron Industries Limited,BE,06-NOV-2020,10,1,INE721Z01010,10
12,AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10
13,AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5
14,AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10
15,AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
16,AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10
17,AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10
18,ABAN,Aban Offshore Limited,EQ,29-MAR-1995,2,1,INE421A01028,2
19,ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
20,ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10
21,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10
22,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10
23,ABMINTLLTD,ABM International Limited,BE,09-SEP-2021,10,1,INE251C01025,10
24,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5
25,ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
26,ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10
27,ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,10,1,INE648Z01015,10
28,ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2
29,ACRYSIL,Acrysil Limited,EQ,14-JAN-2021,2,1,INE482D01024,2
30,ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
31,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
32,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
33,ADANIPOWER,Adani Power Limited,BE,20-AUG-2009,10,1,INE814H01011,10
34,ADANITRANS,Adani Transmission Limited,EQ,31-JUL-2015,10,1,INE931S01010,10
35,ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,10,1,INE982B01019,10
36,ADL,Archidply Decor Limited,BE,01-OCT-2020,10,1,INE0CHO01012,10
37,ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
38,ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10
39,ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
40,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
41,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
42,AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
43,AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
44,AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
45,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
46,AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
47,AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
48,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
49,AGSTRA,AGS Transact Technologies Limited,EQ,31-JAN-2022,10,1,INE583L01014,10
50,AHLADA,Ahlada Engineers Limited,BE,28-JAN-2021,10,1,INE00PV01013,10
51,AHLEAST,Asian Hotels (East) Limited,BE,11-AUG-2010,10,1,INE926K01017,10
52,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
53,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
54,AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2
55,AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
56,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
57,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
58,AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,10,1,INE820Y01013,10
59,AJRINFRA,AJR INFRA AND TOLLING LIMITED,EQ,03-APR-2008,2,1,INE181G01025,2
60,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
61,AKG,Akg Exim Limited,BE,16-FEB-2021,10,1,INE00Y801016,10
62,AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,10,1,INE256Z01017,10
63,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10
64,AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5
65,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
66,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
67,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10
68,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
69,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
70,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
71,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
72,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
73,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
74,ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
75,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6,1,INE326B01027,6
